Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Company Reputation,Employee Recognition,Attrition,Job Role_Education,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Marital Status_Divorced,Marital Status_Married,Marital Status_Single
49,0,37,50016,2,3,4,2,0,60,3,4,3,2,70,0,3,3,0,0,0,0,1,0,1,0,0
29,1,9,60304,2,2,3,0,0,10,3,0,3,1,76,0,3,3,0,0,0,1,0,0,0,1,0
51,0,41,69864,3,3,3,2,1,18,4,3,2,1,72,0,3,3,0,0,1,0,0,0,1,0,0
57,0,33,65608,3,4,3,0,0,95,5,1,2,2,95,0,2,2,0,0,0,1,0,0,0,1,0
39,0,1,64632,4,3,4,1,0,23,4,0,1,2,20,0,1,1,1,0,1,0,0,0,0,0,1
36,1,13,46992,2,3,3,0,0,16,1,1,2,2,40,0,3,3,1,0,0,0,1,0,0,0,1
54,1,5,37248,3,2,3,0,1,63,1,0,2,2,60,0,3,1,1,1,0,0,0,0,0,0,1
48,1,9,39896,2,3,3,1,0,92,2,0,1,2,23,0,3,2,1,1,0,0,0,0,1,0,0
23,1,13,100056,2,3,4,0,0,86,1,1,2,2,83,0,3,1,0,0,0,0,0,1,0,0,1
45,0,21,60568,3,4,3,1,1,30,2,1,1,1,67,1,2,2,0,0,0,1,0,0,0,1,0
48,1,32,28280,3,2,3,0,1,48,3,0,3,2,84,0,3,1,0,1,0,0,0,0,0,1,0
45,0,34,66640,4,3,3,0,1,58,3,4,2,2,91,1,3,3,0,0,1,0,0,0,0,1,0
24,1,11,50672,3,3,3,0,1,55,3,2,3,1,28,0,3,2,0,0,0,1,0,0,1,0,0
42,1,1,70992,3,2,3,1,0,31,2,2,1,1,27,0,1,4,0,0,0,0,0,1,1,0,0
53,1,44,58912,1,2,3,1,0,92,2,0,2,1,55,0,3,3,1,0,0,1,0,0,0,1,0
39,1,22,44448,3,3,3,0,0,16,2,0,1,2,28,0,4,1,1,0,1,0,0,0,0,1,0
37,1,2,74344,3,3,2,0,0,55,3,0,2,1,54,0,2,1,0,0,0,0,0,1,0,1,0
37,1,6,61608,2,3,2,0,1,32,1,1,1,2,71,0,3,1,0,0,1,0,0,0,0,1,0
31,1,18,40840,1,1,3,2,0,82,3,2,3,1,46,0,4,4,1,0,0,0,1,0,0,0,1
37,1,9,69056,2,3,3,2,0,8,4,2,3,2,86,1,1,3,0,0,0,1,0,0,1,0,0
45,0,27,42520,3,3,3,2,1,74,2,4,1,1,70,0,1,1,0,0,0,0,1,0,0,1,0
57,0,23,47504,4,4,3,2,1,3,4,3,2,2,47,0,3,2,0,0,0,0,1,0,1,0,0
42,0,2,49704,2,3,3,0,0,5,3,4,1,1,69,0,3,2,1,0,0,0,1,0,0,0,1
31,0,17,47648,2,1,3,0,0,76,3,4,1,1,27,0,3,1,1,0,0,0,1,0,1,0,0
56,0,22,52840,4,3,2,2,1,47,3,2,2,2,74,0,3,1,0,0,0,0,1,0,0,1,0
34,1,12,66192,3,4,2,0,1,67,3,1,1,2,36,0,1,1,1,0,1,0,0,0,0,0,1
56,1,7,79024,3,4,3,2,0,58,4,1,1,1,22,0,3,1,1,0,0,0,0,1,0,0,1
47,0,36,67536,2,1,4,1,0,84,2,0,1,2,67,1,1,1,1,0,0,0,0,1,0,0,1
25,0,2,53520,2,1,4,0,1,14,2,2,1,2,25,1,3,2,0,0,0,1,0,0,0,1,0
25,0,3,67176,4,3,2,0,1,36,3,3,1,1,49,1,1,1,0,0,0,1,0,0,0,1,0
36,1,8,78200,2,3,3,1,1,79,3,1,2,2,61,0,3,3,1,0,0,0,0,1,0,0,1
41,1,28,44688,3,3,3,0,0,52,2,0,1,1,103,0,3,2,0,0,0,0,1,0,0,1,0
55,0,6,74840,2,4,3,0,1,44,3,3,3,1,64,0,1,3,1,0,0,1,0,0,0,1,0
48,0,18,63808,2,3,4,0,1,32,1,2,2,1,71,0,3,2,1,0,0,0,0,1,0,0,1
21,1,11,50848,1,3,3,0,0,89,2,0,3,2,12,0,3,3,0,0,0,0,1,0,0,1,0
34,1,21,47736,2,1,3,1,0,39,3,0,2,1,39,1,3,2,0,0,0,0,1,0,0,1,0
28,0,12,80888,2,2,3,2,0,37,1,3,2,1,33,0,3,1,0,0,0,0,0,1,0,1,0
26,1,3,69384,4,3,3,0,0,64,2,1,1,3,57,0,3,2,1,0,1,0,0,0,0,0,1
47,1,22,40320,2,4,1,3,1,7,1,0,2,2,58,1,3,1,0,1,0,0,0,0,0,1,0
30,0,22,79152,1,1,3,1,0,87,2,2,1,1,65,1,4,2,1,0,0,0,0,1,0,0,1
24,1,13,54280,3,3,3,0,0,24,3,3,3,1,57,0,2,3,1,0,0,0,0,1,0,0,1
23,0,2,58944,2,4,2,0,0,15,4,3,3,1,17,0,3,3,0,0,1,0,0,0,0,1,0
52,1,34,41232,2,2,3,0,1,16,1,2,2,1,83,0,2,2,1,0,0,0,1,0,0,0,1
51,1,16,67256,3,4,3,1,0,63,3,1,1,1,66,0,3,1,1,0,0,1,0,0,0,0,1
50,1,21,33560,3,4,3,2,1,76,3,2,1,1,100,1,3,4,0,1,0,0,0,0,0,1,0
45,1,6,35608,2,3,3,0,0,81,1,2,1,3,65,0,2,2,0,1,0,0,0,0,0,1,0
31,0,11,80976,2,3,3,2,0,58,3,0,3,1,62,1,1,1,0,0,0,0,0,1,0,1,0
50,1,35,58424,3,3,2,1,1,48,1,1,1,2,84,1,1,3,0,0,1,0,0,0,0,1,0
29,1,8,63568,1,4,3,0,0,75,2,1,2,2,17,0,1,3,1,0,1,0,0,0,0,0,1
27,1,14,48208,1,3,2,0,1,30,3,2,2,3,20,0,3,3,1,0,1,0,0,0,0,0,1
48,1,1,81080,1,3,1,0,1,13,3,3,1,1,72,0,3,2,1,0,0,0,0,1,0,0,1
47,1,24,69048,2,4,4,0,0,35,3,3,3,2,89,0,1,1,0,0,0,1,0,0,0,1,0
41,0,11,35448,1,4,4,0,0,8,2,2,3,2,80,0,4,1,1,1,0,0,0,0,0,1,0
53,0,2,28784,3,3,3,0,1,98,2,1,1,3,69,0,2,2,1,1,0,0,0,0,0,0,1
37,0,2,63592,4,2,3,0,0,95,1,5,1,3,6,1,4,1,0,0,0,1,0,0,0,1,0
21,0,10,63736,2,3,3,0,0,44,4,1,3,3,64,0,2,3,0,0,0,1,0,0,0,0,1
53,0,23,71008,2,1,3,2,1,68,1,3,1,2,78,0,3,3,1,0,0,1,0,0,0,1,0
45,0,28,53024,3,3,3,0,1,56,3,3,3,2,30,0,2,1,1,0,0,0,1,0,0,1,0
49,1,9,66720,3,3,4,1,0,73,3,0,1,3,77,0,2,1,1,0,0,1,0,0,0,0,1
37,1,22,80640,1,3,3,0,0,21,3,1,2,2,69,0,3,2,1,0,1,0,0,0,0,1,0
39,1,9,70880,3,2,2,0,1,26,3,1,2,2,61,0,2,2,1,0,1,0,0,0,0,1,0
27,1,17,45424,2,3,3,2,0,41,3,2,2,2,54,0,3,1,0,0,0,0,1,0,0,1,0
58,1,14,69464,1,3,3,2,0,34,3,0,3,3,87,1,3,1,0,0,0,0,0,1,1,0,0
49,0,2,32336,3,3,2,0,0,29,2,2,1,2,58,0,3,3,1,1,0,0,0,0,1,0,0
54,1,24,77896,1,2,2,0,0,8,3,0,1,2,88,1,2,1,0,0,0,0,0,1,0,1,0
38,1,18,41968,3,3,4,0,1,84,4,2,2,2,20,0,3,1,1,1,0,0,0,0,1,0,0
19,0,1,81128,3,3,3,1,0,19,3,1,1,3,41,0,2,2,1,0,1,0,0,0,0,0,1
43,1,34,72264,3,3,2,1,0,50,1,1,1,2,97,0,1,2,0,0,0,0,0,1,0,1,0
30,1,10,43176,4,1,3,1,1,68,3,0,1,3,75,0,1,1,1,0,0,0,1,0,0,1,0
31,1,19,49080,3,3,4,0,0,41,5,0,1,2,88,0,3,2,0,0,0,1,0,0,0,0,1
47,1,28,56504,1,4,2,0,0,62,2,0,3,2,49,0,3,2,0,0,0,1,0,0,0,1,0
58,0,40,55520,3,3,4,0,0,49,3,1,3,3,67,1,1,2,0,0,0,0,1,0,0,1,0
40,1,17,37864,1,3,2,1,0,69,5,4,1,1,60,0,4,2,0,1,0,0,0,0,0,1,0
35,1,17,61000,3,3,4,0,0,26,3,0,2,3,31,0,3,3,0,0,0,1,0,0,0,1,0
31,0,2,53120,2,2,3,0,0,13,2,4,3,3,33,0,3,3,0,0,0,0,0,1,1,0,0
31,1,8,58296,4,2,4,2,1,33,4,0,1,1,69,0,4,2,0,0,0,0,0,1,0,0,1
40,1,5,55944,2,2,3,0,1,57,1,0,1,3,75,0,2,1,1,0,0,1,0,0,0,0,1
49,0,22,96328,4,3,1,0,0,62,5,6,2,1,23,0,3,1,0,0,1,0,0,0,0,0,1
33,0,1,52272,2,1,3,1,0,21,4,4,1,1,12,0,3,2,1,0,1,0,0,0,0,0,1
52,1,15,60232,3,2,3,0,0,61,3,5,1,3,34,0,3,4,0,0,0,1,0,0,0,1,0
51,1,12,35368,3,3,3,1,0,62,4,0,1,2,14,1,3,3,0,0,1,0,0,0,0,0,1
27,0,11,73576,3,3,4,0,1,53,1,2,3,3,35,0,3,2,0,0,0,0,0,1,0,1,0
58,1,6,70096,2,3,4,0,1,72,3,0,1,1,38,0,3,2,1,0,0,1,0,0,0,1,0
42,0,7,69952,3,2,4,1,1,41,1,3,1,1,71,1,3,2,1,0,0,0,0,1,0,0,1
26,1,3,59248,3,1,1,3,0,91,2,0,1,2,57,1,1,1,1,0,0,1,0,0,0,1,0
37,0,7,48792,3,3,4,0,0,19,3,0,3,1,16,1,4,1,0,0,0,0,1,0,0,1,0
55,1,13,77008,3,3,3,2,0,27,3,0,3,1,81,0,3,3,0,0,0,0,0,1,0,0,1
46,0,6,82384,2,3,3,0,0,47,3,0,1,2,84,0,2,1,1,0,0,0,0,1,0,0,1
41,1,2,71776,3,4,3,1,0,76,4,1,2,3,72,0,4,1,1,0,0,0,0,1,1,0,0
58,0,14,76008,2,2,3,1,1,56,3,4,1,3,52,0,1,2,1,0,0,0,0,1,0,0,1
40,0,22,32184,4,4,1,0,0,58,4,4,1,2,55,0,3,2,1,1,0,0,0,0,0,1,0
53,1,41,66656,1,3,2,0,0,24,4,4,1,2,47,0,3,3,1,0,1,0,0,0,0,0,1
46,0,9,33896,2,2,3,0,1,36,3,1,3,3,20,0,1,2,1,1,0,0,0,0,0,1,0
45,1,9,51496,2,3,4,1,0,53,2,4,2,2,31,0,1,2,1,1,0,0,0,0,0,1,0
56,1,32,53520,4,2,4,1,0,35,1,1,1,1,80,0,2,1,0,0,0,1,0,0,0,1,0
23,1,11,56304,3,2,3,0,0,74,2,0,1,3,55,0,2,1,1,0,0,0,0,1,0,1,0
55,1,40,73416,2,1,2,0,0,65,2,0,2,2,106,0,4,1,1,0,0,1,0,0,0,0,1
48,0,19,70088,3,3,2,0,0,75,1,3,1,2,90,1,1,4,0,0,0,0,0,1,0,1,0
47,1,24,43424,4,1,3,0,1,93,2,1,1,2,49,0,3,2,0,0,0,0,1,0,1,0,0
26,0,8,62872,3,2,3,4,0,44,1,5,3,1,35,0,3,1,0,0,0,1,0,0,0,1,0
21,1,4,82384,3,3,3,2,0,28,1,0,3,2,53,0,2,1,1,0,0,0,0,1,0,0,1
44,1,13,59440,3,1,3,1,1,23,2,3,2,2,73,0,3,1,0,0,0,1,0,0,0,1,0
24,1,2,36584,2,3,4,2,1,37,3,0,3,1,62,0,3,2,0,1,0,0,0,0,0,1,0
31,1,13,75472,3,4,2,0,0,76,3,0,2,2,83,1,2,1,0,0,0,0,0,1,0,1,0
45,0,24,36664,4,4,4,2,1,55,2,1,2,2,62,0,3,2,1,0,1,0,0,0,0,1,0
19,1,3,63832,2,2,1,1,1,46,1,2,1,2,27,0,2,2,1,0,0,1,0,0,0,1,0
59,0,30,81328,4,3,3,1,0,32,2,1,1,2,37,0,3,3,1,0,0,0,0,1,0,1,0
50,1,35,42528,2,3,3,2,0,21,3,0,2,2,80,1,3,2,0,0,0,0,1,0,0,1,0
59,1,45,80240,3,1,3,2,0,64,1,3,2,3,52,0,1,1,1,0,0,0,0,1,0,1,0
54,1,2,69888,3,4,3,0,1,86,2,1,1,1,5,0,1,1,1,0,0,1,0,0,0,0,1
58,0,39,55432,2,3,4,0,0,56,2,3,1,3,76,0,1,3,1,0,0,1,0,0,0,1,0
21,1,2,81336,2,3,4,0,1,54,2,2,2,2,65,0,2,2,1,0,0,1,0,0,0,1,0
51,1,16,72504,1,4,3,0,0,9,2,1,2,1,90,0,3,1,1,0,0,1,0,0,0,0,1
45,0,20,71408,4,3,3,4,0,89,1,1,3,1,80,1,3,2,0,0,0,1,0,0,0,0,1
30,0,15,25632,3,3,1,0,0,45,3,1,3,1,94,0,4,1,0,1,0,0,0,0,1,0,0
29,0,11,74448,2,3,3,0,0,51,4,2,1,3,45,0,4,1,1,0,1,0,0,0,0,0,1
59,1,43,38896,3,1,3,0,0,28,2,1,2,1,119,0,3,3,0,1,0,0,0,0,0,1,0
35,0,26,60608,4,3,1,4,0,81,1,5,2,1,53,0,3,1,0,0,0,0,0,1,0,1,0
40,0,29,93880,2,3,3,3,0,87,2,3,1,1,56,0,2,2,0,0,1,0,0,0,1,0,0
20,1,2,51624,4,2,3,0,0,51,2,0,1,1,62,0,3,3,0,0,0,0,1,0,0,1,0
50,1,18,58872,3,3,4,1,0,67,2,2,1,2,63,0,3,1,1,0,0,0,0,1,1,0,0
44,1,35,62704,2,3,3,1,0,19,2,4,3,1,53,0,4,3,0,0,0,1,0,0,0,1,0
20,0,3,87544,1,3,2,0,0,62,2,0,1,2,15,0,2,2,1,0,0,0,0,1,0,0,1
28,1,20,84104,3,3,3,0,0,73,3,1,2,2,94,0,1,2,0,0,1,0,0,0,0,1,0
28,1,6,53352,3,4,4,0,0,39,5,3,2,3,41,0,1,1,1,0,0,1,0,0,0,0,1
36,1,17,66472,3,3,3,2,1,24,2,0,2,3,89,0,3,1,0,0,0,0,0,1,0,0,1
40,1,4,51408,2,3,3,0,0,13,3,1,1,2,10,0,4,2,1,0,0,0,1,0,0,1,0
56,0,46,67384,3,3,4,0,0,96,4,3,1,2,118,0,2,2,1,0,0,1,0,0,0,0,1
47,1,1,69784,3,4,4,2,0,73,1,1,3,1,32,0,2,1,0,0,0,0,0,1,0,1,0
21,1,13,73216,1,3,3,0,0,60,3,0,1,2,20,1,3,4,0,0,0,1,0,0,0,1,0
18,0,7,68368,1,4,4,0,1,94,1,1,3,1,64,1,2,3,1,0,0,0,0,1,0,0,1
22,0,13,46376,4,4,2,0,0,78,5,4,1,1,49,1,3,2,0,0,0,0,1,0,0,1,0
52,1,19,29000,2,3,3,1,0,54,1,2,2,1,32,0,3,1,0,1,0,0,0,0,0,1,0
44,1,36,64384,2,4,3,2,0,72,1,3,2,2,57,1,2,2,1,0,1,0,0,0,0,0,1
42,1,26,33640,3,3,3,1,0,89,4,3,3,2,39,0,2,3,0,1,0,0,0,0,0,0,1
53,1,41,34984,2,3,3,2,1,91,4,4,2,2,53,0,1,2,1,1,0,0,0,0,0,1,0
22,1,2,55400,4,3,3,1,0,79,2,2,3,2,73,1,2,2,0,0,1,0,0,0,0,1,0
50,1,38,66392,2,1,1,0,0,28,3,0,2,3,59,0,2,3,1,0,0,1,0,0,0,0,1
56,0,40,92448,3,2,3,2,0,1,5,2,2,1,66,0,4,2,0,0,0,0,0,1,0,0,1
42,1,10,46560,2,4,4,1,1,86,1,2,3,1,82,0,4,3,1,0,0,0,1,0,0,0,1
18,1,6,61048,2,1,2,0,0,1,4,3,1,2,69,0,3,1,1,0,0,0,0,1,0,0,1
39,1,3,47128,3,1,3,2,1,88,1,4,2,1,9,0,3,2,1,0,0,0,1,0,1,0,0
22,0,9,67008,2,3,2,3,0,46,1,1,2,2,11,0,3,2,1,0,1,0,0,0,0,0,1
28,1,3,49480,2,3,3,0,0,51,2,0,2,2,62,0,2,1,1,0,0,0,1,0,0,1,0
47,0,13,51736,3,3,2,2,0,25,3,2,1,2,82,0,1,3,1,0,0,1,0,0,1,0,0
56,0,6,55632,3,3,3,1,0,65,3,2,1,1,17,1,3,2,1,0,1,0,0,0,0,1,0
51,0,33,61176,3,1,3,1,1,6,1,1,2,1,44,0,2,1,1,0,0,0,0,1,0,1,0
55,0,43,59520,1,2,4,0,1,1,1,0,1,1,97,1,3,2,1,0,0,1,0,0,0,1,0
56,1,38,71064,1,1,3,0,0,69,4,3,2,2,100,0,2,1,1,0,0,1,0,0,1,0,0
24,1,8,45216,3,3,4,0,0,76,1,1,3,1,23,0,2,2,0,1,0,0,0,0,0,1,0
26,1,5,59008,2,3,3,0,0,70,3,1,3,3,33,0,1,1,1,0,1,0,0,0,0,1,0
52,1,26,58448,3,1,3,0,1,19,1,3,1,1,35,1,2,1,0,0,0,0,0,1,0,0,1
54,1,42,80048,3,3,2,0,0,75,4,1,3,1,93,0,3,2,0,0,1,0,0,0,0,1,0
45,1,6,91368,1,3,3,1,0,18,3,4,2,1,27,1,3,1,0,0,0,0,0,1,1,0,0
20,1,9,65288,3,1,3,0,0,86,3,2,2,2,35,0,3,2,1,0,0,1,0,0,0,0,1
51,1,10,30040,3,3,3,0,0,61,1,0,1,2,26,0,3,2,1,1,0,0,0,0,1,0,0
51,1,22,43240,4,2,3,1,0,57,4,3,1,1,27,0,2,2,0,0,0,0,1,0,0,1,0
59,1,32,32904,4,3,4,0,1,48,4,3,1,2,82,0,3,1,1,1,0,0,0,0,0,0,1
47,1,38,48064,2,4,3,0,0,12,1,0,2,1,49,1,3,2,0,0,0,0,1,0,0,1,0
58,1,2,50904,2,3,3,2,0,19,1,2,2,3,27,0,1,2,0,0,0,0,1,0,0,1,0
40,0,27,47840,3,2,4,0,0,35,5,2,2,1,52,0,3,3,0,0,0,0,1,0,0,0,1
45,0,10,43800,3,3,3,0,0,99,1,0,2,2,26,0,3,2,0,0,0,0,1,0,0,1,0
38,0,7,49280,3,3,3,2,0,53,3,4,1,2,24,0,3,3,0,0,0,0,1,0,0,1,0
29,1,9,50688,2,3,2,1,0,95,3,3,1,2,79,0,1,1,1,0,0,0,1,0,0,1,0
41,0,29,49944,2,3,3,0,0,78,3,4,1,2,55,0,1,3,1,0,0,0,1,0,0,1,0
38,1,14,45864,4,4,3,1,0,12,3,2,2,2,62,0,1,3,0,0,0,0,1,0,0,1,0
51,0,16,71904,3,3,2,1,1,94,1,1,1,1,36,0,3,3,0,0,0,0,0,1,0,1,0
38,0,22,45952,3,4,4,1,0,95,2,3,1,2,62,0,1,1,1,0,0,0,1,0,0,1,0
46,0,14,52440,4,3,3,0,0,4,4,0,2,1,92,1,3,1,0,0,1,0,0,0,0,0,1
53,1,23,61064,3,4,3,0,0,44,3,2,2,2,91,0,2,4,1,0,0,0,0,1,1,0,0
41,1,26,37792,3,4,3,1,0,7,3,2,3,2,80,0,1,1,0,1,0,0,0,0,0,0,1
28,1,4,79136,3,2,4,2,0,9,2,4,1,2,20,0,3,4,1,0,0,0,0,1,0,0,1
34,1,6,81760,3,1,2,1,1,97,2,1,1,1,41,1,3,4,1,0,0,0,0,1,0,0,1
33,1,12,19088,1,2,3,1,1,73,3,0,2,2,64,0,3,3,1,1,0,0,0,0,0,1,0
38,1,25,87224,3,3,4,2,1,29,2,0,3,2,63,0,2,1,0,0,1,0,0,0,0,0,1
52,1,19,49112,2,4,3,2,0,68,4,0,1,1,92,0,1,1,1,0,0,0,1,0,1,0,0
19,1,11,35280,2,3,4,2,1,42,3,1,1,2,25,0,3,2,1,1,0,0,0,0,0,0,1
46,1,17,55816,4,3,3,0,0,8,2,0,2,2,74,0,2,4,0,0,0,0,0,1,0,1,0
27,0,12,73992,2,1,3,0,1,32,3,0,1,3,22,0,1,4,1,0,1,0,0,0,0,0,1
59,1,40,66624,3,4,4,0,0,46,2,0,1,1,44,0,1,1,1,0,0,1,0,0,0,0,1
58,0,44,66648,2,2,4,2,0,38,2,1,2,1,117,0,3,4,1,0,0,1,0,0,1,0,0
50,1,42,61112,1,1,4,0,0,91,1,0,1,2,49,0,3,3,1,0,0,0,0,1,0,1,0
48,0,31,89312,3,2,3,3,0,72,1,1,2,2,74,0,1,1,1,0,0,0,0,1,0,0,1
57,1,18,68640,2,2,2,1,0,84,3,3,1,2,60,1,2,2,0,0,0,0,0,1,0,0,1
50,1,30,64904,2,3,4,0,0,19,1,0,3,2,78,0,3,1,0,0,0,1,0,0,0,0,1
22,1,5,72936,3,3,2,0,0,7,3,4,2,1,34,0,4,2,0,0,0,1,0,0,0,0,1
28,1,6,68568,1,2,2,0,0,35,2,2,1,1,55,0,3,3,1,0,0,0,0,1,0,1,0
19,0,6,72128,3,1,3,0,0,28,4,1,1,2,48,0,3,1,1,0,1,0,0,0,0,1,0
47,0,16,73024,3,3,4,1,0,90,5,3,3,1,17,0,3,3,0,0,0,0,0,1,1,0,0
33,1,19,75040,3,3,3,1,0,65,5,3,2,2,53,0,1,1,0,0,0,0,0,1,0,1,0
31,0,14,65144,3,4,3,1,1,54,2,0,3,1,77,0,3,2,1,0,0,0,0,1,0,0,1
26,1,5,66144,3,2,3,4,0,6,4,4,2,3,53,0,4,2,0,0,0,1,0,0,0,0,1
51,1,28,58760,2,3,3,1,0,43,1,0,1,2,29,0,1,1,1,0,0,1,0,0,0,0,1
44,1,34,82288,3,3,3,1,0,63,1,4,1,2,53,1,4,4,0,0,0,0,0,1,0,1,0
30,1,20,34248,3,3,3,0,0,63,1,4,2,2,61,0,3,2,0,1,0,0,0,0,0,0,1
55,1,8,103880,2,4,2,2,0,41,4,4,2,2,22,0,2,1,1,0,1,0,0,0,0,1,0
33,1,16,45032,2,3,2,0,0,15,3,1,3,2,46,0,2,1,1,0,0,0,1,0,0,0,1
27,1,9,74232,3,3,3,2,0,69,1,1,2,2,36,0,3,4,0,0,1,0,0,0,0,1,0
49,0,41,68392,2,2,2,1,0,13,3,0,1,1,60,0,3,1,1,0,0,0,0,1,0,1,0
41,1,21,62704,3,3,3,2,1,99,2,3,1,3,69,0,1,3,1,0,1,0,0,0,1,0,0
27,0,2,41568,4,4,2,1,0,75,3,1,2,3,18,0,1,1,1,0,0,0,1,0,0,1,0
22,0,2,65472,4,3,2,1,0,98,3,6,1,1,79,1,4,2,1,0,0,1,0,0,0,0,1
22,0,8,36176,3,2,3,0,1,18,4,0,1,2,26,1,2,4,0,1,0,0,0,0,0,1,0
50,1,36,39288,3,2,3,1,0,59,3,4,2,1,94,1,2,2,0,1,0,0,0,0,0,1,0
20,0,8,69704,1,1,1,1,0,82,3,0,2,2,25,0,3,3,1,0,1,0,0,0,0,0,1
36,0,9,72440,4,3,3,0,0,61,3,4,2,3,24,1,3,2,0,0,0,1,0,0,1,0,0
34,1,10,69768,4,1,3,0,0,76,2,0,1,3,11,1,3,1,0,0,1,0,0,0,0,1,0
38,1,14,35968,3,3,3,3,1,76,3,0,1,1,86,0,1,1,1,0,0,0,1,0,0,1,0
20,0,6,47760,3,3,3,1,1,54,2,2,1,1,27,0,3,1,1,0,0,1,0,0,0,1,0
42,0,6,61928,4,3,3,0,0,4,4,3,1,1,28,0,3,3,0,0,0,1,0,0,1,0,0
48,0,40,76264,2,2,3,1,0,81,5,5,3,2,61,0,3,2,0,0,0,0,0,1,0,0,1
29,0,15,37904,3,4,2,0,1,76,2,4,1,3,35,1,3,2,1,1,0,0,0,0,0,0,1
32,0,6,47032,3,3,2,0,0,47,5,2,3,2,72,1,3,2,0,0,0,0,1,0,0,1,0
26,1,17,52184,3,3,4,2,1,85,4,3,1,2,86,1,3,3,1,0,0,0,1,0,0,0,1
48,0,15,54696,2,3,3,0,0,36,3,0,2,2,70,0,1,2,0,0,0,0,0,1,0,0,1
44,1,31,48264,1,4,4,2,0,28,2,0,2,3,38,1,1,2,0,0,0,0,1,0,0,1,0
59,0,45,65016,3,3,4,0,1,22,2,1,2,3,79,0,1,3,1,0,1,0,0,0,0,1,0
25,0,17,68888,3,3,3,0,0,4,2,5,1,2,60,0,3,1,0,0,0,1,0,0,0,0,1
43,1,27,28288,3,2,3,0,0,48,2,3,1,2,85,1,4,1,0,1,0,0,0,0,0,0,1
25,0,10,49640,4,1,3,0,0,50,4,3,2,2,74,0,1,2,1,0,0,0,1,0,0,0,1
55,1,33,38648,3,3,1,0,1,63,1,5,3,1,50,0,1,2,1,1,0,0,0,0,0,1,0
18,0,9,38112,4,3,3,1,0,93,4,1,1,3,57,0,3,3,0,0,0,0,1,0,0,1,0
59,1,30,44160,1,4,3,0,0,50,3,0,2,2,58,0,3,3,1,1,0,0,0,0,0,0,1
40,0,12,67856,2,3,3,1,0,18,4,1,1,3,46,0,1,2,1,0,0,1,0,0,1,0,0
22,0,1,50608,3,3,3,0,0,2,3,4,1,2,79,0,3,2,0,0,0,0,1,0,0,1,0
58,0,17,39616,3,3,4,2,0,49,3,1,2,1,28,0,4,2,1,1,0,0,0,0,0,0,1
39,1,13,71808,3,3,2,4,0,82,4,0,1,2,25,0,3,2,0,0,0,1,0,0,1,0,0
40,1,29,36736,1,4,3,0,1,68,4,2,1,2,72,0,3,1,1,1,0,0,0,0,0,0,1
36,1,13,51112,3,3,3,1,1,87,3,5,2,3,64,0,3,2,0,0,0,0,1,0,0,1,0
